Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 06:30,1,800000037,10,800000072,9800.25,US Dollar,9800.25,US Dollar,ACH,0
2022/09/01 06:31,10,800000093,10,800000111,4145.16,US Dollar,4145.16,US Dollar,Credit Card,0
2022/09/01 06:40,1,800000040,10,800000071,6000.10,US Dollar,6000.10,US Dollar,ACH,0
2022/09/01 06:50,1,800000032,10,800000067,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 07:15,1,800000038,10,800000073,9050.10,US Dollar,9050.10,US Dollar,ACH,0
2022/09/01 07:20,1,800000033,10,800000068,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 07:50,1,800000034,10,800000069,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 07:52,20,800000151,20,800000126,2219.79,US Dollar,2219.79,US Dollar,Wire,0
2022/09/01 07:59,1,800000059,10,800000068,1459.36,US Dollar,1459.36,US Dollar,ACH,0
2022/09/01 08:15,10,800000087,10,800000075,239.18,US Dollar,239.18,US Dollar,Wire,0
2022/09/01 08:20,1,800000025,10,800000060,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 08:20,1,800000041,10,800000072,496.50,US Dollar,496.50,US Dollar,ACH,0
2022/09/01 08:28,10,800000086,10,800000112,3340.65,US Dollar,3340.65,US Dollar,ACH,0
2022/09/01 08:40,1,800000040,10,800000072,6500.20,US Dollar,6500.20,US Dollar,ACH,0
2022/09/01 08:40,1,800000041,10,800000073,481.59,US Dollar,481.59,US Dollar,ACH,0
2022/09/01 08:50,1,800000026,10,800000061,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 08:55,10,800000084,20,800000142,591.91,US Dollar,591.91,US Dollar,Wire,0
2022/09/01 09:00,1,800000041,10,800000074,648.38,US Dollar,648.38,US Dollar,ACH,0
2022/09/01 09:13,10,800000084,1,800000024,1746.20,US Dollar,1746.20,US Dollar,Credit Card,0
2022/09/01 09:13,20,800000140,1,800000038,129.27,US Dollar,129.27,US Dollar,ACH,0
2022/09/01 09:14,1,800000041,20,800000154,4679.61,US Dollar,4679.61,US Dollar,ACH,0
2022/09/01 09:19,10,800000102,10,800000100,767.05,US Dollar,767.05,US Dollar,Wire,0
2022/09/01 09:20,1,800000027,10,800000062,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 09:20,1,800000041,10,800000075,576.36,US Dollar,576.36,US Dollar,ACH,0
2022/09/01 09:25,20,800000158,1,800000035,4489.27,US Dollar,4489.27,US Dollar,Wire,0
2022/09/01 09:40,1,800000041,10,800000076,306.88,US Dollar,306.88,US Dollar,ACH,0
2022/09/01 09:50,1,800000028,10,800000063,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 09:54,20,800000137,10,800000100,4462.84,US Dollar,4462.84,US Dollar,ACH,0
2022/09/01 09:57,10,800000082,20,800000123,1462.81,US Dollar,1462.81,US Dollar,ACH,0
2022/09/01 10:00,1,800000041,10,800000077,258.52,US Dollar,258.52,US Dollar,ACH,0
2022/09/01 10:00,1,800000046,1,800000045,5000.00,US Dollar,5000.00,US Dollar,ACH,0
2022/09/01 10:05,1,800000059,20,800000128,3798.11,US Dollar,3798.11,US Dollar,Wire,0
2022/09/01 10:08,20,800000154,1,800000028,4035.58,US Dollar,4035.58,US Dollar,ACH,0
2022/09/01 10:20,1,800000029,10,800000064,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 10:20,1,800000041,10,800000078,255.32,US Dollar,255.32,US Dollar,ACH,0
2022/09/01 10:22,1,800000045,20,800000131,1152.68,US Dollar,1152.68,US Dollar,Credit Card,0
2022/09/01 10:37,20,800000131,1,800000024,2233.83,US Dollar,2233.83,US Dollar,Credit Card,0
2022/09/01 10:40,1,800000040,10,800000073,7000.30,US Dollar,7000.30,US Dollar,ACH,0
2022/09/01 10:40,1,800000041,10,800000079,844.65,US Dollar,844.65,US Dollar,ACH,0
2022/09/01 10:50,1,800000030,10,800000065,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 10:53,1,800000031,10,800000078,3722.07,US Dollar,3722.07,US Dollar,Cheque,0
2022/09/01 10:55,20,800000159,10,800000095,1575.75,US Dollar,1575.75,US Dollar,Credit Card,0
2022/09/01 11:00,10,800000105,10,800000101,4291.88,US Dollar,4291.88,US Dollar,Cheque,0
2022/09/01 11:00,1,800000041,10,800000080,882.02,US Dollar,882.02,US Dollar,ACH,0
2022/09/01 11:01,20,800000145,20,800000133,399.08,US Dollar,399.08,US Dollar,Credit Card,0
2022/09/01 11:10,10,800000091,20,800000127,1248.29,US Dollar,1248.29,US Dollar,Wire,0
2022/09/01 11:17,1,800000034,1,800000022,3388.51,US Dollar,3388.51,US Dollar,Wire,0
2022/09/01 11:20,1,800000031,10,800000066,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 11:20,1,800000041,10,800000081,308.76,US Dollar,308.76,US Dollar,ACH,0
2022/09/01 11:39,20,800000141,1,800000037,483.32,US Dollar,483.32,US Dollar,ACH,0
2022/09/01 11:40,1,800000041,10,800000082,428.73,US Dollar,428.73,US Dollar,ACH,0
2022/09/01 11:46,20,800000139,1,800000053,2956.75,US Dollar,2956.75,US Dollar,ACH,0
2022/09/01 11:49,10,800000102,10,800000082,3995.97,US Dollar,3995.97,US Dollar,Credit Card,0
2022/09/01 11:50,20,800000125,20,800000133,4134.82,US Dollar,4134.82,US Dollar,ACH,0
2022/09/01 11:50,1,800000032,10,800000067,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 12:00,1,800000041,10,800000083,610.51,US Dollar,610.51,US Dollar,ACH,0
2022/09/01 12:14,20,800000151,20,800000124,540.64,US Dollar,540.64,US Dollar,Credit Card,0
2022/09/01 12:17,20,800000147,10,800000098,2412.51,US Dollar,2412.51,US Dollar,Wire,0
2022/09/01 12:20,1,800000033,10,800000068,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 12:20,1,800000041,10,800000084,734.26,US Dollar,734.26,US Dollar,ACH,0
2022/09/01 12:40,1,800000040,10,800000074,5500.40,US Dollar,5500.40,US Dollar,ACH,0
2022/09/01 12:40,1,800000041,10,800000085,654.89,US Dollar,654.89,US Dollar,ACH,0
2022/09/01 12:44,1,800000032,20,800000158,4021.13,US Dollar,4021.13,US Dollar,Cheque,0
2022/09/01 12:45,1,800000052,10,800000097,2968.53,US Dollar,2968.53,US Dollar,Cheque,0
2022/09/01 12:50,1,800000034,10,800000069,1080.00,US Dollar,1000.00,Euro,ACH,0
2022/09/01 12:54,1,800000033,10,800000105,363.08,US Dollar,363.08,US Dollar,Wire,0
2022/09/01 12:58,20,800000136,20,800000122,2025.95,US Dollar,2025.95,US Dollar,Credit Card,0
2022/09/01 13:00,1,800000041,10,800000086,650.21,US Dollar,650.21,US Dollar,ACH,0
2022/09/01 13:12,10,800000106,1,800000046,490.54,US Dollar,490.54,US Dollar,Credit Card,0
2022/09/01 13:12,10,800000091,1,800000050,661.15,US Dollar,661.15,US Dollar,Wire,0
2022/09/01 13:19,20,800000153,20,800000143,1704.43,US Dollar,1704.43,US Dollar,Wire,0
2022/09/01 13:20,1,800000041,10,800000087,417.12,US Dollar,417.12,US Dollar,ACH,0
2022/09/01 13:26,10,800000078,1,800000043,2111.36,US Dollar,2111.36,US Dollar,ACH,0
2022/09/01 13:33,20,800000133,10,800000080,4113.39,US Dollar,4113.39,US Dollar,Credit Card,0
2022/09/01 13:40,1,800000041,10,800000088,506.24,US Dollar,506.24,US Dollar,ACH,0
2022/09/01 13:48,1,800000039,10,800000095,4061.03,US Dollar,4061.03,US Dollar,ACH,0
2022/09/01 14:00,1,800000041,10,800000089,867.40,US Dollar,867.40,US Dollar,ACH,0
2022/09/01 14:20,1,800000041,10,800000090,367.05,US Dollar,367.05,US Dollar,ACH,0
2022/09/01 14:32,1,800000059,10,800000119,1554.22,US Dollar,1554.22,US Dollar,ACH,0
2022/09/01 14:36,1,800000046,1,800000054,1306.21,US Dollar,1306.21,US Dollar,Cheque,0
2022/09/01 14:40,10,800000093,20,800000157,88.84,US Dollar,88.84,US Dollar,Wire,0
2022/09/01 14:40,1,800000041,10,800000091,371.14,US Dollar,371.14,US Dollar,ACH,0
2022/09/01 15:00,1,800000041,10,800000092,847.24,US Dollar,847.24,US Dollar,ACH,0
2022/09/01 15:16,20,800000133,20,800000129,2714.31,US Dollar,2714.31,US Dollar,ACH,0
2022/09/01 15:20,1,800000041,10,800000093,281.19,US Dollar,281.19,US Dollar,ACH,0
2022/09/01 15:34,10,800000063,1,800000039,2474.80,US Dollar,2474.80,US Dollar,Cheque,0
2022/09/01 15:40,1,800000041,10,800000094,628.61,US Dollar,628.61,US Dollar,ACH,0
2022/09/01 15:55,20,800000138,10,800000097,3133.89,US Dollar,3133.89,US Dollar,Cheque,0
2022/09/01 16:00,1,800000041,10,800000095,238.52,US Dollar,238.52,US Dollar,ACH,0
2022/09/01 16:00,1,800000045,1,800000047,4900.00,US Dollar,4900.00,US Dollar,ACH,0
2022/09/01 16:04,20,800000152,10,800000119,4389.33,US Dollar,4389.33,US Dollar,Credit Card,0
2022/09/01 16:20,1,800000041,10,800000096,666.26,US Dollar,666.26,US Dollar,ACH,0
2022/09/01 16:34,1,800000032,10,800000083,4407.98,US Dollar,4407.98,US Dollar,Wire,0
2022/09/01 16:38,1,800000048,10,800000093,1178.79,US Dollar,1178.79,US Dollar,ACH,0
2022/09/01 16:40,1,800000041,10,800000097,660.64,US Dollar,660.64,US Dollar,ACH,0
2022/09/01 16:40,10,800000100,10,800000101,3000.00,US Dollar,3000.00,US Dollar,ACH,1
2022/09/01 17:00,1,800000041,10,800000098,322.95,US Dollar,322.95,US Dollar,ACH,0
2022/09/01 17:11,1,800000032,10,800000105,1206.95,US Dollar,1206.95,US Dollar,Cheque,0
2022/09/01 17:16,10,800000097,1,800000023,3413.09,US Dollar,3413.09,US Dollar,Credit Card,0
2022/09/01 17:18,1,800000024,10,800000064,1310.50,US Dollar,1310.50,US Dollar,Wire,0
2022/09/01 17:20,1,800000041,10,800000099,208.87,US Dollar,208.87,US Dollar,ACH,0
2022/09/01 17:40,1,800000041,10,800000100,296.05,US Dollar,296.05,US Dollar,ACH,0
2022/09/01 18:00,1,800000041,10,800000101,207.95,US Dollar,207.95,US Dollar,ACH,0
2022/09/01 18:20,1,800000041,10,800000102,547.49,US Dollar,547.49,US Dollar,ACH,0
2022/09/01 18:31,1,800000044,10,800000080,4264.48,US Dollar,4264.48,US Dollar,Wire,0
2022/09/01 18:38,10,800000068,20,800000150,3594.89,US Dollar,3594.89,US Dollar,ACH,0
2022/09/01 18:40,1,800000041,10,800000103,442.69,US Dollar,442.69,US Dollar,ACH,0
2022/09/01 18:46,20,800000144,10,800000069,1126.08,US Dollar,1126.08,US Dollar,Cheque,0
2022/09/01 18:47,1,800000045,10,800000105,3809.06,US Dollar,3809.06,US Dollar,ACH,0
2022/09/01 18:49,20,800000150,10,800000119,2036.64,US Dollar,2036.64,US Dollar,Wire,0
2022/09/01 18:53,20,800000129,20,800000122,1769.48,US Dollar,1769.48,US Dollar,Wire,0
2022/09/01 18:53,10,800000061,10,800000071,3855.98,US Dollar,3855.98,US Dollar,Credit Card,0
2022/09/01 18:56,10,800000093,20,800000140,3356.34,US Dollar,3356.34,US Dollar,Wire,0
2022/09/01 19:00,10,800000109,20,800000129,838.41,US Dollar,838.41,US Dollar,Cheque,0
2022/09/01 19:00,1,800000041,10,800000104,562.06,US Dollar,562.06,US Dollar,ACH,0
2022/09/01 19:13,1,800000049,20,800000139,4623.74,US Dollar,4623.74,US Dollar,Cheque,0
2022/09/01 19:18,10,800000105,1,800000040,2818.01,US Dollar,2818.01,US Dollar,Credit Card,0
2022/09/01 19:20,1,800000041,10,800000105,775.75,US Dollar,775.75,US Dollar,ACH,0
2022/09/01 19:32,10,800000081,20,800000147,4385.94,US Dollar,4385.94,US Dollar,Cheque,0
2022/09/01 19:33,10,800000102,10,800000080,1483.38,US Dollar,1483.38,US Dollar,Cheque,0
2022/09/01 19:40,1,800000041,10,800000106,381.47,US Dollar,381.47,US Dollar,ACH,0
2022/09/01 19:44,20,800000140,10,800000082,2219.74,US Dollar,2219.74,US Dollar,Wire,0
2022/09/01 19:55,10,800000088,10,800000097,1324.93,US Dollar,1324.93,US Dollar,ACH,0
2022/09/01 19:59,10,800000109,1,800000057,1172.28,US Dollar,1172.28,US Dollar,Credit Card,0
2022/09/01 20:00,1,800000041,10,800000107,460.31,US Dollar,460.31,US Dollar,ACH,0
2022/09/01 20:00,10,800000100,10,800000102,3137.11,US Dollar,3137.11,US Dollar,ACH,1
2022/09/01 20:00,10,800000110,10,800000116,2500.00,US Dollar,2500.00,US Dollar,ACH,1
2022/09/01 20:07,10,800000089,20,800000135,4350.20,US Dollar,4350.20,US Dollar,Wire,0
2022/09/01 20:08,10,800000118,20,800000146,1948.35,US Dollar,1948.35,US Dollar,ACH,0
2022/09/01 20:20,1,800000041,10,800000108,724.84,US Dollar,724.84,US Dollar,ACH,0
2022/09/01 20:40,1,800000041,10,800000109,811.42,US Dollar,811.42,US Dollar,ACH,0
2022/09/01 20:51,1,800000058,10,800000079,1869.42,US Dollar,1869.42,US Dollar,Cheque,0
2022/09/01 20:52,1,800000043,1,800000032,4140.24,US Dollar,4140.24,US Dollar,Cheque,0
2022/09/01 20:52,10,800000096,20,800000149,2942.61,US Dollar,2942.61,US Dollar,Credit Card,0
2022/09/01 21:00,1,800000041,10,800000110,713.06,US Dollar,713.06,US Dollar,ACH,0
2022/09/01 21:01,20,800000138,1,800000050,3126.62,US Dollar,3126.62,US Dollar,Wire,0
2022/09/01 21:03,10,800000106,1,800000053,2886.92,US Dollar,2886.92,US Dollar,Cheque,0
2022/09/01 21:03,10,800000083,1,800000038,439.68,US Dollar,439.68,US Dollar,Wire,0
2022/09/01 21:13,10,800000060,20,800000128,1666.19,US Dollar,1666.19,US Dollar,Cheque,0
2022/09/01 21:20,1,800000041,10,800000111,282.64,US Dollar,282.64,US Dollar,ACH,0
2022/09/01 21:34,20,800000139,10,800000093,3268.65,US Dollar,3268.65,US Dollar,ACH,0
2022/09/01 21:34,1,800000024,1,800000051,4464.81,US Dollar,4464.81,US Dollar,Wire,0
2022/09/01 21:40,20,800000132,20,800000154,2533.05,US Dollar,2533.05,US Dollar,Credit Card,0
2022/09/01 21:48,20,800000127,10,800000083,4622.76,US Dollar,4622.76,US Dollar,Credit Card,0
2022/09/01 21:51,10,800000082,20,800000152,878.65,US Dollar,878.65,US Dollar,Credit Card,0
2022/09/01 22:21,10,800000062,1,800000049,3744.51,US Dollar,3744.51,US Dollar,Credit Card,0
2022/09/01 22:28,1,800000051,20,800000152,776.82,US Dollar,776.82,US Dollar,Cheque,0
2022/09/01 22:32,1,800000052,20,800000141,4547.53,US Dollar,4547.53,US Dollar,Credit Card,0
2022/09/01 22:39,10,800000088,1,800000056,389.20,US Dollar,389.20,US Dollar,Credit Card,0
2022/09/01 23:08,20,800000153,10,800000063,3305.25,US Dollar,3305.25,US Dollar,Cheque,0
2022/09/01 23:20,10,800000100,10,800000103,3274.22,US Dollar,3274.22,US Dollar,ACH,1
2022/09/01 23:20,10,800000111,10,800000116,2711.07,US Dollar,2711.07,US Dollar,ACH,1
2022/09/01 23:38,20,800000142,20,800000154,1839.92,US Dollar,1839.92,US Dollar,Wire,0
2022/09/01 23:43,10,800000087,1,800000040,796.02,US Dollar,796.02,US Dollar,ACH,0
2022/09/01 23:55,10,800000088,1,800000030,3674.77,US Dollar,3674.77,US Dollar,Wire,0
2022/09/02 00:00,10,800000064,20,800000126,4240.66,US Dollar,4240.66,US Dollar,ACH,0
2022/09/02 00:46,20,800000152,20,800000133,4401.35,US Dollar,4401.35,US Dollar,Wire,0
2022/09/02 01:00,20,800000120,20,800000121,4321.11,US Dollar,4321.11,US Dollar,ACH,1
2022/09/02 01:10,20,800000140,20,800000142,2142.23,US Dollar,2142.23,US Dollar,ACH,0
2022/09/02 01:22,1,800000034,20,800000150,430.53,US Dollar,430.53,US Dollar,ACH,0
2022/09/02 01:24,10,800000083,1,800000049,173.09,US Dollar,173.09,US Dollar,Wire,0
2022/09/02 01:30,20,800000132,10,800000118,1660.42,US Dollar,1660.42,US Dollar,Wire,0
2022/09/02 01:32,10,800000062,20,800000145,1421.97,US Dollar,1421.97,US Dollar,Credit Card,0
2022/09/02 01:59,10,800000082,20,800000141,3885.61,US Dollar,3885.61,US Dollar,ACH,0
2022/09/02 02:17,10,800000084,10,800000079,623.12,US Dollar,623.12,US Dollar,Credit Card,0
2022/09/02 02:19,1,800000054,20,800000149,2273.10,US Dollar,2273.10,US Dollar,ACH,0
2022/09/02 02:40,10,800000100,10,800000104,3411.33,US Dollar,3411.33,US Dollar,ACH,1
2022/09/02 02:40,10,800000112,10,800000116,2922.14,US Dollar,2922.14,US Dollar,ACH,1
2022/09/02 03:11,10,800000084,20,800000136,4065.19,US Dollar,4065.19,US Dollar,Wire,0
2022/09/02 03:13,20,800000124,20,800000141,2317.88,US Dollar,2317.88,US Dollar,Credit Card,0
2022/09/02 03:16,10,800000113,1,800000049,4477.32,US Dollar,4477.32,US Dollar,Cheque,0
2022/09/02 03:26,10,800000112,20,800000150,1115.15,US Dollar,1115.15,US Dollar,Cheque,0
2022/09/02 03:31,1,800000036,20,800000137,225.67,US Dollar,225.67,US Dollar,ACH,0
2022/09/02 04:22,1,800000035,1,800000045,4551.05,US Dollar,4551.05,US Dollar,Cheque,0
2022/09/02 04:37,1,800000026,20,800000138,4529.13,US Dollar,4529.13,US Dollar,Wire,0
2022/09/02 04:50,1,800000021,10,800000072,1481.74,US Dollar,1481.74,US Dollar,Cheque,0
2022/09/02 04:57,1,800000051,20,800000136,485.45,US Dollar,485.45,US Dollar,ACH,0
2022/09/02 05:02,10,800000110,1,800000046,2795.11,US Dollar,2795.11,US Dollar,Cheque,0
2022/09/02 05:06,20,800000137,1,800000045,397.99,US Dollar,397.99,US Dollar,Credit Card,0
2022/09/02 05:10,20,800000139,20,800000133,2150.26,US Dollar,2150.26,US Dollar,Wire,0
2022/09/02 05:11,10,800000062,20,800000124,2356.80,US Dollar,2356.80,US Dollar,Wire,0
2022/09/02 05:14,1,800000024,10,800000112,1517.11,US Dollar,1517.11,US Dollar,Credit Card,0
2022/09/02 05:22,20,800000149,20,800000137,4641.76,US Dollar,4641.76,US Dollar,Credit Card,0
2022/09/02 05:51,20,800000128,1,800000028,191.54,US Dollar,191.54,US Dollar,Cheque,0
2022/09/02 06:00,10,800000100,10,800000105,3548.44,US Dollar,3548.44,US Dollar,ACH,1
2022/09/02 06:00,10,800000113,10,800000116,3133.21,US Dollar,3133.21,US Dollar,ACH,1
2022/09/02 06:00,20,800000121,20,800000120,4210.22,US Dollar,4210.22,US Dollar,ACH,1
2022/09/02 06:09,1,800000050,10,800000095,1795.83,US Dollar,1795.83,US Dollar,Cheque,0
2022/09/02 06:13,1,800000026,10,800000103,4397.47,US Dollar,4397.47,US Dollar,ACH,0
2022/09/02 06:15,20,800000121,10,800000099,3592.57,US Dollar,3592.57,US Dollar,Credit Card,0
2022/09/02 06:18,1,800000047,1,800000022,518.38,US Dollar,518.38,US Dollar,Cheque,0
2022/09/02 06:22,10,800000117,1,800000029,4128.32,US Dollar,4128.32,US Dollar,Cheque,0
2022/09/02 06:24,20,800000155,1,800000052,3507.33,US Dollar,3507.33,US Dollar,ACH,0
2022/09/02 06:40,1,800000043,10,800000080,3245.78,US Dollar,3245.78,US Dollar,Cheque,0
2022/09/02 06:52,20,800000142,1,800000039,680.32,US Dollar,680.32,US Dollar,Wire,0
2022/09/02 07:24,10,800000095,1,800000059,981.91,US Dollar,981.91,US Dollar,Wire,0
2022/09/02 07:25,20,800000147,10,800000093,3734.77,US Dollar,3734.77,US Dollar,Credit Card,0
2022/09/02 07:55,10,800000117,10,800000115,564.64,US Dollar,564.64,US Dollar,Wire,0
2022/09/02 07:58,1,800000055,20,800000148,4769.05,US Dollar,4769.05,US Dollar,Credit Card,0
2022/09/02 08:00,20,800000132,1,800000039,3439.34,US Dollar,3439.34,US Dollar,Credit Card,0
2022/09/02 08:03,20,800000158,1,800000029,2982.93,US Dollar,2982.93,US Dollar,Credit Card,0
2022/09/02 08:21,20,800000132,1,800000050,3734.25,US Dollar,3734.25,US Dollar,Cheque,0
2022/09/02 08:29,1,800000023,10,800000111,3802.43,US Dollar,3802.43,US Dollar,Credit Card,0
2022/09/02 08:39,10,800000090,20,800000153,2351.84,US Dollar,2351.84,US Dollar,Credit Card,0
2022/09/02 08:49,1,800000039,10,800000096,821.64,US Dollar,821.64,US Dollar,Wire,0
2022/09/02 09:02,20,800000147,1,800000055,3058.35,US Dollar,3058.35,US Dollar,Credit Card,0
2022/09/02 09:13,10,800000095,10,800000076,1970.91,US Dollar,1970.91,US Dollar,Credit Card,0
2022/09/02 09:20,10,800000100,10,800000106,3685.55,US Dollar,3685.55,US Dollar,ACH,1
2022/09/02 09:20,10,800000114,10,800000116,3344.28,US Dollar,3344.28,US Dollar,ACH,1
2022/09/02 09:20,20,800000132,20,800000130,5000.00,US Dollar,5000.00,US Dollar,ACH,1
2022/09/02 09:21,1,800000053,10,800000109,4234.10,US Dollar,4234.10,US Dollar,Credit Card,0
2022/09/02 09:25,1,800000038,10,800000063,2587.16,US Dollar,2587.16,US Dollar,Cheque,0
2022/09/02 09:26,1,800000048,1,800000026,3572.36,US Dollar,3572.36,US Dollar,Cheque,0
2022/09/02 09:40,1,800000039,10,800000112,1245.57,US Dollar,1245.57,US Dollar,Wire,0
2022/09/02 09:45,1,800000037,1,800000030,3632.61,US Dollar,3632.61,US Dollar,Cheque,0
2022/09/02 09:47,20,800000156,10,800000117,3960.96,US Dollar,3960.96,US Dollar,Wire,0
2022/09/02 09:49,20,800000129,10,800000100,3807.61,US Dollar,3807.61,US Dollar,Credit Card,0
2022/09/02 09:50,20,800000132,20,800000152,2194.56,US Dollar,2194.56,US Dollar,Cheque,0
2022/09/02 09:52,10,800000067,1,800000055,2317.91,US Dollar,2317.91,US Dollar,ACH,0
2022/09/02 09:53,1,800000058,10,800000097,454.61,US Dollar,454.61,US Dollar,ACH,0
2022/09/02 10:17,10,800000072,10,800000087,2450.69,US Dollar,2450.69,US Dollar,ACH,0
2022/09/02 10:27,10,800000081,10,800000069,2993.96,US Dollar,2993.96,US Dollar,Credit Card,0
2022/09/02 11:16,20,800000144,10,800000074,1735.42,US Dollar,1735.42,US Dollar,Credit Card,0
2022/09/02 11:39,1,800000027,1,800000049,4215.93,US Dollar,4215.93,US Dollar,Cheque,0
2022/09/02 11:45,10,800000105,1,800000053,3076.29,US Dollar,3076.29,US Dollar,Cheque,0
2022/09/02 12:07,20,800000136,1,800000038,3315.08,US Dollar,3315.08,US Dollar,Cheque,0
2022/09/02 12:20,20,800000130,20,800000131,4950.00,US Dollar,4950.00,US Dollar,ACH,1
2022/09/02 12:31,10,800000101,10,800000081,2265.74,US Dollar,2265.74,US Dollar,Wire,0
2022/09/02 12:34,20,800000150,1,800000048,2770.39,US Dollar,2770.39,US Dollar,Credit Card,0
2022/09/02 12:40,10,800000115,10,800000116,3555.35,US Dollar,3555.35,US Dollar,ACH,1
2022/09/02 12:59,10,800000104,10,800000110,3388.56,US Dollar,3388.56,US Dollar,Credit Card,0
